id,name,phone,statut,booked,user_id,manager_id,fixe,rappel,section,ville,secteur,decisionnaire,whatsapp,email,commentaire,how_many_calls,archive,created_at,updated_at
4781,Angsana Riads Collection Morocco,"0524388905","0","0",5,,"0524388905",,ClientBtobInter,Marrakech,Medina,Abdelhaq,"0678966066",,Appelé le 09/03/2023 Informe Mr. Abdelhaq,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4782,ATLAS ASNI,"05 24 33 99 00","0","0",5,,,,ClientBtobInter,,,,,,"Appeler 31-03-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4783,Atlas Golf Marrakech,"0524376666","0","0",5,,"0524376666",,ClientBtobInter,Marrakech,Barrage,Loubna,"0707161319",,Appelé le 10/03/2023.,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4784,Atlas Medina,"05 24 33 99 50","0","0",5,,,,ClientBtobInter,,,,,,"Appelé le 20/03/2023.
Fermé temporairement .",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4785,Atlas Targa,"05 24 49 99 99","0","0",5,,Atlas Targa,,ClientBtobInter,Marrakech,Targa,,,,Informer 22-03-2023 Meeting point qui s'occupe des clients,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4786,Auberge de Tameslohte,"05 24 48 38 40","0","0",5,,"0524483840",,ClientBtobInter,marrakech,Barrage,"","0666644580",,clirnt informer 02/03/23,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4787,AZENZAR,"05 24 38 63 53",2,"0",5,,il va nous rappeler s'il y'a des clients,,ClientBtobInter,,,,,,le numero n'est pas attribuer,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4788,BAMAGA,"05 24 37 56 11 ","0","0",5,,"0524375611",,ClientBtobInter,Marrakech,,,,,"Appeler 05-05-2023
",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4789,Be Live Palmeraie  ,"05 24 29 80 00 ","0","0",5,,"0524298000",,ClientBtobInter,Marrakech,Palmeraie,,,,client dérangé ils ont déjà leur restaurant.,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
11631,Riad BEL ORANGER,"05 24 38 50 43","0","0",2,,,,ClientBtobInter,,,,,,informer le 02/03/23,6,"0",2023-01-18 09:03:23,2023-05-12 15:42:26
4791,Caravan Serai,"05 24 30 03 02","0","0",5,,,,ClientBtobInter,,,,,,Appeler 26-04-2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4792,Casa Gyla,"05 24 32 90 48 ","0","0",5,,"0524329048",,ClientBtobInter,marrakech,Palmeraie,,,,Appeler 25-04-2023,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4793,charme d'orient,"05 24 38 19 87","0","0",5,,"0524381987",,ClientBtobInter,Marrakech,Medina,Laurence,"0600024848",,"Informer 31-03-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4794,club dar atlas,"05 29 03 01 00","0","0",5,,"0529030100",,ClientBtobInter,Marrakech,Palmeraie,,,,"Appeler 05-05-2023
",6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4795,Club Med Palmeraie,"05 24 42 58 00",1,"0",5,,"05 24 42 58 00",,ClientBtobInter,Marrakech,Palmeraie,Ilhame,"0631733945",,"Informer 22-05-2023
Cliente occupée",6,"0",2022-11-22 09:17:55,2023-05-22 15:12:24
4796,Coco Canel,"05 24 37 55 54",1,"0",5,,"0524375554",,ClientBtobInter,Marrakech ,Ourika,Dominique,"0607978202",,"Informer 15-05-2023
client préfère l'hivernage ",6,"0",2022-11-22 09:17:55,2023-05-15 11:38:05
4797,Dar  Chamaa,"06 61 43 84 31","0","0",5,,"0524854954",,ClientBtobInter,Marrakech,Medina,Kamlia,"0672871470",,"Informer 27-04-2023
Client dérangé par les appel d'autre personne",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4798,Dar Al Assad,"06 77 03 04 47",2,"0",5,,,,ClientBtobInter,,,,,,il n'existe pas,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4799,Dar Anassa,"06 61 24 76 29","0","0",5,,,,ClientBtobInter,Marrakech,Palmeraie,Dominic,"0661247629",,"Informer le 06-04-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4800,Dar Asam,"05 24 37 87 96","0","0",5,,"0524378796",,ClientBtobInter,,,,,,Appeler 26-04-2023,6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4801,Dar Beldia,"05 24 38 01 40","0","0",5,,,,ClientBtobInter,,,,,,"Appelé le 20/03/2023.
Le responsable Occupé.",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4802,Dar Challa, 07 07 29 67 70,"0","0",5,,,,ClientBtobInter,,,,,,Informer 07-02-2023 mais elle n'est pas intéressée,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4803,Dar Crystal,"06 69 58 90 55",1,"0",5,,,,ClientBtobInter,Marrakech,Medina,,"06 69 58 90 55",,Informer 05-05-2023 Client Dérangé,7,"0",2022-11-22 09:17:55,2023-05-15 10:55:11
4804,Dar Dream,"06 73 73 63 13","0","0",5,,,,ClientBtobInter,,,,,,NRP 08/03/2023,6,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4805,Dar Essalam,"05 24 44 32 73",2,"0",5,,,,ClientBtobInter,,,,,,ils font la meme activité que nous ,5,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4806,Dar Ikalimo,"05 24 38 73 94","0","0",5,,,,ClientBtobInter,,,,,,"Appeler 24-03-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4807,Dar Jaguar,"05 24 44 56 06","0","0",5,,,,ClientBtobInter,,,,,,"Appeler 30-03-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4808,Villa jellouna,"0601753850",1,"0",5,,"0601753850",,ClientBtobInter,marrakech,Ourika,,"0601753850",,"Appeler 15-05-2023
",9,"0",2022-11-22 09:17:55,2023-05-15 10:06:02
4809,Dar Justo,"05 24 42 69 99",1,"0",5,,"05 24 42 69 99",,ClientBtobInter,Marrakech,Medina,Zakaria,"0661483046",info@darjusto.com,"Informer 22-05-2023
",8,"0",2022-11-22 09:17:55,2023-05-22 15:08:36
4810,Dar la Cle de la Medina,"06 27 81 76 51",2,"0",5,,,,ClientBtobInter,,,,,,client souhaite ne plus etre contacté 22/02/23,5,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4811,Dar Les Cigognes by Sanssouci Collectin,"05 24 38 27 40","0","0",5,,"0524382740",,ClientBtobInter,marrakech,Medina,dar les cigognes by sanssouci collection,,,client informer 02/03/23,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4812,Dar Lyyina,"06 62 19 78 76","0","0",5,,,,ClientBtobInter,,,,,,Appelé le 10/03/2023. Mais ça fonctionne pas,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4813,Dar Moucha,"06 73 72 87 00","0","0",5,,,,ClientBtobInter,,,,,,"Appeler 12-04-2023
",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4814,Dar Ouladna,"05 24 33 54 78","0","0",5,,"05 24 33 54 78",,ClientBtobInter,Marrakech,Targa,Adil,"0603567346",,"Informer 24-03-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4815,Dar Sabra,"05 24 32 69 45","0","0",5,,,,ClientBtobInter,,,,,,Appelé le 20/03/2023.,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4816,Dar Shama,"05 24 38 60 38","0","0",5,,"0524386038",,ClientBtobInter,Marrakech,Palmeraie,Ismail,"0661617731",,Appelé le 13/03/2023.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4817,Dar Si Aissa,"05 24 38 13 83",2,"0",5,,,,ClientBtobInter,,,,,,Numéro non valide 07-02-2023,5,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4818,Dar Zarraba ,"05 24 37 51 21","0","0",5,,"05 24 37 51 21",,ClientBtobInter,Marrakech,Medina,Mme Fatema/ Ismail,"0611292745",,"Informer le 07-04-2023
",6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4819,Dar Zaya,"06 66 15 01 98","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Yassine,"06 66 15 01 98",,"Informer par watsapp 06-04-2023
",6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4820,Demeurs d'orient,"05 24 38 12 00","0","0",5,,"05 24 38 12 00",,ClientBtobInter,Marrakech,Medina,,,,Appeler 26-04-2023,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4821,Domaine des remparts,"05 24 32 70 60 ","0","0",5,,,,ClientBtobInter,,,,,,"Appelé le 20/03/2023.
Ne répond pas.",6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4822,Domaine du Douar, 06 60 37 99 61,"0","0",5,, 0666-035963,,ClientBtobInter,Marrakech,Barrage,, 0666-035963,,"Informer 22-03-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4823,Domaine Rosaroum,"06 61 87 56 40 ","0","0",5,,"05 24 32 88 89",,ClientBtobInter,Marrakech,Palmeraie,,"06 61 87 56  40",,"Informer 25-04-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4824,Domaine Tarik,"05 24 39 09 42 ","0","0",5,,,,ClientBtobInter,,,,,,"Appeler 30-03-2023
",6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4825,eden  andalou,"05 24 45 94 00","0","0",5,,"0524459400",,ClientBtobInter,Marrakech,Centre ville,,,,Appelé 13/03/2023. Client Informe VIA e-mail suite a la demande du client,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4826,"Fabiola-ANDALUS-PORTE ROUGE-
LAURA-JARDIN DES REVES -dar pamela","06 61 24 09 42","0","0",5,,,,ClientBtobInter,Marrakech,,,"06 61 24 09 42",,Appeler 25-04-2023 cliente a pris mon numéro,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4827,HANDIOASIS,"06 15 76 11 89","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Malik,"0615761189",," Informer sur Watsapp 25-04-2023
",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4828,haraka,"05 24 38 53 18","0","0",5,,"0524385318",,ClientBtobInter,,,,"0661711759",,client informer,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4829,HCE Karam,"06 76 98 00 92",2,"0",5,,,,ClientBtobInter,,,,,,Le numéro ne correspond plus au riad.,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4832,Hôtel Farah Tulip,"05 24 44 89 52 ",1,"0",5,,,,ClientBtobInter,,,,,,"Appeler 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 11:42:28
4833,Hotel ibis Marrakech Palmeraie,"05 24 33 40 20",1,"0",5,,"0524334020",,ClientBtobInter,MARRAKECH,Palmeraie,,"0776745457",,"Appeler 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 10:01:39
4834,Hotel Les deux Tours, 05 24 32 95 25,"0","0",5,,,,ClientBtobInter,,,,,,client informer 02/03/23 par aicha,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4835,Hotel Murano,"05 24 32 95 45","0","0",5,,"0524329545",,ClientBtobInter,marrakech,Palmeraie,,,,fermer pour des travaux 07-02-2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4836,Hotel Pavillon  ,"05 24 33 43 00",2,"0",5,,,,ClientBtobInter,,,,,,il va nous rappeler s il y'a des clients  22/02/23,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4837,Hotel Selman Marrakech,"05 24 45 96 00 ","0","0",5,,"05 24 45 96 00",,ClientBtobInter,Marrakech,Barrage,Lamiaa,"0662014594",,informée le 21/03/2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4838,Hôtel Sirayane,"0525118880","0","0",5,,"0525118880",,ClientBtobInter,Marrakech,Ourika,Rafik,"0667514928",,Appelé le 20/03/2023.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4839,Hôtel The pearl,"0524 42 42 42","0","0",5,,"0524424242",,ClientBtobInter,Marrakech,Centre ville,Mohamed,"0654904002",,Informer 19-04-2023,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4840,Hôtel Tresor,"05 24 37 51 13",1,"0",5,,"0524375113",,ClientBtobInter,Marrakech,Medina,Mustapha,"0662836512",,"Appeler 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 10:50:09
4841,In Club Palmeraie Resort,"05 24 43 72 77","0","0",5,,"0524437277",,ClientBtobInter,Marrakech ,Palmeraie,Leila,"0636183173",,Appelé le 10/03/2023.,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4842,jardin de la MEDINA,"05 24 38 18 51","0","0",5,,"05 24 38 18 51",,ClientBtobInter,,,,,,"Appeler 05-05-2023
",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
11636,Les Jardins d'Henia,"05243-76969","0","0",5,,"05243-76969",,ClientBtobInter,Marrakech,Medina,William,"0661213424",,"Informer par watsapp 21-03-2023
",7,"0",2023-01-20 14:12:41,2023-05-12 15:42:26
4844,Jnane Leila,"0661289364","0","0",5,,,,ClientBtobInter,Marrakech,Centre ville,Saad ,"0661289364",,"Informer par watsapp 19-04-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4845,Jnane Tamsna,"05 24 32 84 84",1,"0",5,,"0524328484",,ClientBtobInter,Marrakech,Palmeraie,Meriem,,requests@jnanetamsna.com,"Informer 22-05-2023
",9,"0",2022-11-22 09:17:55,2023-05-22 14:15:47
4846,Jouvence,"06 20 03 04 37 ","0","0",5,,,,ClientBtobInter,,,,,,Informé le 08/03/2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4847,Kasbah Igoudar, 06 63 778 9 44,"0","0",5,,,,ClientBtobInter,,,,,,"Appelé le 20/03/2023.
Boite Vocale.",9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4848,Kech Boutique Hôtel & SPA,"05 24 38 87 87","0","0",5,,"0524388787",,ClientBtobInter,Marrakech,Centre ville,Ismail,,reception@kech-hotel.ma,"Informer 27-04-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4849,kenzi menara palace,"05 24 45 99 00","0","0",5,,"0524459900",,ClientBtobInter,Marrakech,Centre ville,,"0670959036",,"Informer par Watsapp 26-04-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4851,La Maison Blanche,"06 08 44 04 40",2,"0",5,,,,ClientBtobInter,,,,,,il va nous rappeler s'il y'a des clients 22/02/23,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4852,Las Palmeras,"05 24 32 83 87",1,"0",5,,"0524328387",,ClientBtobInter,MARRAKECH,Medina,,,,"Appeler 22-05-2023
",8,"0",2022-11-22 09:17:55,2023-05-22 15:34:53
4853,Le Bled Ferme,"06 08 08 12 12","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Jihane,"0608081212",,"Informer par watsapp 19-04-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4854,Le Clos de la palmeraie,"06 61 91 42 42","0","0",5,,,,ClientBtobInter,,,le clos de la palmeraie,"0661914242",,Client Furieux 07-02-2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4855,LE PALAIS PAYSAN,"05 29 80 16 38","0","0",5,,"0529801638",,ClientBtobInter,Marrakech,Ourika,Hamada,"0608867782",,Appelé le 13/03/2023.,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4856,LE VISIR,"05 24 35 41 41","0","0",5,,"0524354141",,ClientBtobInter,Marrakech,,,,,"Appeler 05-05-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4857,Les Arabesques ,"06 00 07 00 37 ","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Bernard ,"0600070037",,Appelé le 10/03/2023.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4858,Les Sources Berbères Riad & Spa, 05 24 37 51 69,1,"0",5,,"080-8625012",,ClientBtobInter,Marrakech,Medina,Yassine,"0663843132",,"Appeler 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 11:20:30
4859,Loddge K,"06 60 15 39 24","0","0",5,,"0660153924",,ClientBtobInter,Marrakech,Palmeraie,Kamlia ,"0675983609",,Appelé le 13/03/2023.,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4860,l'orangeraie,"06 61 23 87 89","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Syrile,"0661238789",,Informe le 08/03/2023,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4861,Maison des olivier ,"05 24 37 54 05","0","0",5,,"0524375405",,ClientBtobInter,Marrakech,Ourika,Moustapha ,"0678797949",,"Appeler 12-04-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4862,Maison d'Hôtes Villa 55,"07 01 16 84 00","0","0",5,,,,ClientBtobInter,,Palmeraie,,"07 01 16 84 00",,"Appeler 05-05-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4863,Maison Rouge,"05 24 38 09 08","0","0",5,,,,ClientBtobInter,,,,,,Appelé le 27-04-2023. Ça ne Fonctionne pas sur le numéro Fixe. et Numéro Portable.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
11603,MAMOUNIA,"05243-88600","0","0",2,,"0524388600",,ClientBtobInter,Marrakech,Medina,,,informations@mamounia.com,informer 29/03/23,8,"0",2023-01-12 14:52:00,2023-05-12 15:42:26
4865,"Mandarin Oriental, Marrakech","05 24 29 88 88","0","0",5,,,,ClientBtobInter,,,,,,ça fonctionne pas le 10/03/2023.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4866,Mirage D'atlas,"06 61 35 87 29",1,"0",5,,,,ClientBtobInter,Marrakech,Palmeraie,said ,"0661358729",,"Informer 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 11:34:36
11604,RIAD MORKOCH,"0670224339","0","0",2,,,,ClientBtobInter,,,,,,nrp  05/04/23,7,"0",2023-01-12 15:07:06,2023-05-12 15:42:26
4868,Movenpick,"05 24 33 91 00","0","0",5,,,,ClientBtobInter,,,,,,Appeler 27-04-2023,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4869,Naoura barriere,"06 76 00 41 39","0","0",5,,,,ClientBtobInter,Marrakech,Centre ville,Lynda,"0676004139",,"Informer 05-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4870,O'Atlas // Suites luxe Marrakech,"06 11 34 24 19",1,"0",5,,,,ClientBtobInter,Marrakech ,Ourika,Jackie & Bernard,"0611342419",oatlasmarrakech@gmail.com,"Informer 22-05-2023
",6,"0",2022-11-22 09:17:55,2023-05-22 14:48:28
4871,Oliva Hotel Condominium Marrakech,"05 24 35 44 44","0","0",5,,"05 24 35 44 44",,ClientBtobInter,Marrakech,Medina,,,,"Appeler 05-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4872,Oliver Palmresort,"0655981494","0","0",5,,,,ClientBtobInter,Marrakech,Palmeraie,Zouhra,"0655981494",,Appelé le 10/03/2023.,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4874,Opera plaza, 05 24 35 15 15,"0","0",5,, 05 24 35 15 15,,ClientBtobInter,Marrakech,Centre ville,Issam,,,Informé le 08/03,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4875,Palais  Sebban ,"05 24 44 02 26",1,"0",5,,"05 24 44 0226",,ClientBtobInter,Marrakech,Medina,Chaimae,"0662841523",,"Informer 22-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-22 15:30:25
4877,,"05 24 38 39 08 ",2,"0",5,,,,ClientBtobInter,,,Moulay Abdellah ,,,numero sans nom d'établissement,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4878,Palais Clementina & Spa,"05 24 39 00 41","0","0",5,,,,ClientBtobInter,,,,,,Appelé le 09/03/2023,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4879,Palais Delia ,"05 24 39 16 56","0","0",5,,,,ClientBtobInter,Marrakech,Medina,Nissrine,,,Informé 08/03/2023,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4880,Palais des princesses,"05 24 37 53 40",1,"0",5,,"05 24 37 53 40",,ClientBtobInter,Marrakech,Medina,Kamal,"0662786855",,"Informer par mail 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 10:16:22
4881,Palais elmiria,"05 24 30 65 44","0","0",5,,"05 24 30 65 44",,ClientBtobInter,Marrakech,Palmeraie,Hamza,,,"Informer 26-04-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4882,Palais Namaskar,"0524299800","0","0",5,,"0524299800",,ClientBtobInter,Marrakech,Palmeraie,Kawtar,"0679669963",,"Informer 30-03-2023
",8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4883,Palais Ronsard,"05 24 29 86 00",2,"0",5,,,,ClientBtobInter,,,,,,,4,"0",2022-11-22 09:17:55,2023-03-24 11:24:24
4884,Palm Plaza Hotel & Spa,"05 24 38 87 00 ",1,"0",5,,"052488700",,ClientBtobInter,Marrakech,Centre ville,Sanae,"0612973832",,"Appeler 15-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-15 11:25:20
4885,Palmeraie Dar Atlas,"05 24 32 64 46","0","0",2,,,,ClientBtobInter,,,,,,Appelé le 29/03/2023. Mais ça fonctionne pas,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4886,Riad & Spa Dar Nimbus ,"05 24 38 58 57","0","0",2,,"0524385857",,ClientBtobInter,Marrakech,Medina,Mohammed,"0697495492",,Appelé le 20/03/2023.,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4887,Riad 64 Marrakech,"05 24 37 50 71","0","0",2,,"0524381715",,ClientBtobInter,Marrakech,Medina,Salma,"0639113819 0661525951",,"Informer 03-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4888,Riad Abaka,"06 62 21 66 53","0","0",2,,"0662216653",,ClientBtobInter,Marrakech,Medina,Hassane,"0667815538",,apler deja pr aicha 08/03--- 24/03/23,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4889,Riad Adika,"0524387900","0","0",2,,"0524387900",,ClientBtobInter,Marrakech,Medina,Simohamed,"0672172048",,informer 05/04/23 whtsp,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4890,Riad Adriana,"06 73 72 71 51","0","0",2,,,,ClientBtobInter,Marrakech,Medina,Melanie ,"0673727151",,informer,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4891,Riad Al Massarah, 08 08 63 92 49,"0","0",2,,"0808639249 .",,ClientBtobInter,Marrakech,Medina,Mohemmed,"0653889991",,informer 24/03/23,8,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4892,Riad Aliya,"05 24 39 04 35","0","0",2,,"0524390435",,ClientBtobInter,Marrakech,Medina,Mohamed,"0646535141",,informer par whtsp 29/03/23,6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4893,Riad Alnadine, 05 24 38 62 73,"0","0",2,,"0524386273",,ClientBtobInter,Marrakech,Medina,,,,informer par whtsp 06/04/23,9,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4894,Riad AnaYela,"05 24 38 69 69",1,"0",2,,"0524386969",,ClientBtobInter,Marrakech ,Medina,Mohammed,"0695151481",,ENVOYE LE 18/05/2023,7,"0",2022-11-22 09:17:55,2023-05-19 16:19:52
4895,Riad Armelle,"06 61 10 88 03","0","0",2,,"0524380941",,ClientBtobInter,Marrakech,Medina,,"06 61 10 88 03",,"Informer 03-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4896,Riad Badi,"06 73 62 62 29",2,"0",2,,,,ClientBtobInter,,,,,,ferme definitivement  22/02/23,5,"0",2022-11-22 09:17:55,2023-03-24 11:25:37
4897,Riad Bjoujna ,"06 73 11 83 48","0","0",2,,,,ClientBtobInter,Marrakech,Medina,Fayrouz,"0673118348",,Appelé le 20/03/2023.,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4898,Riad chergui,"05 24 38 33 34","0","0",2,,"0524383334",,ClientBtobInter,Marrakech,Medina,Reda ,"0617733534",,informer 05/04/23,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4899,Riad Dar Alfarah,"05 24 38 42 69","0","0",2,,"0524384269",,ClientBtobInter,Marrakech,Medina,Mohamed,"0662085950",,"Informer 04-05-2023
",7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4900,Riad Dar Augusta,"06 62 64 29 32",1,"0",2,,"0662642932",,ClientBtobInter,Marrakech,Medina,Bouchra,"06 62 64 29 32",,informé par wtsp 18/05/2023,7,"0",2022-11-22 09:17:55,2023-05-18 10:04:41
4901,Riad Dar Beija,"05 24 39 04 42","0","0",2,,"0524390442",,ClientBtobInter,Marrakech,Medina,Said,"0662665496",,informer pr whtsp 29/03/23,6,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4902,Riad Dar El Masa,"05 24 38 68 47",1,"0",2,,,,ClientBtobInter,,,,,,déja informé 18/05/2023,8,"0",2022-11-22 09:17:55,2023-05-18 09:26:43
4903,Riad dar Salam,"06 20 22 23 10",1,"0",2,,,,ClientBtobInter,Marrakech ,Medina,,,,déja informé raccroché au nez  18/05/2023,6,"0",2022-11-22 09:17:55,2023-05-18 09:33:24
4904,Riad Diarna,"06 64 88 88 44","0","0",2,,"0524382304",,ClientBtobInter,Marrakech,Medina,,,,,7,"0",2022-11-22 09:17:55,2023-05-12 15:42:26
4905,Riad du Ciel,"05 24 42 81 81",1,"0",2,,"0524428181",,ClientBtobInter,Marrakech,Medina,,,,Appelé le24/05/2023.,9,"0",2022-11-22 09:17:55,2023-05-24 11:13:00
4906,Riad et Dar Maison Do,"06 10 40 31 93 ",2,"0",2,,,,ClientBtobInter,,,,,,Client Furieux,4,"0",2022-11-22 09:17:55,2023-03-24 11:25:37
